Assignments,URL,ContentId,Author,MSTgtPltfrm,New Name Slug,_______,________,_____,Redirect to:,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-oracle-list-oracle-virtual-machine-images/,virtual-machines-oracle-list-oracle-virtual-machine-images,bbenz,vm-multiple,asm_oracle_images,__,__,__,Linux,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-prepare-oracle-linux-virtual-machine/,virtual-machines-prepare-oracle-linux-virtual-machine,bbenz,vm-linux,prepare_oracle,,,__,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-ps-create-preconfigure-linux-vms/,virtual-machines-ps-create-preconfigure-linux-vms,cynthn,vm-linux,asm_create_vm_powershell,,,__,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-ps-create-preconfigure-windows-resource-manager-vms/,virtual-machines-ps-create-preconfigure-windows-resource-manager-vms,cynthn,na,arm_create_powershell,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-ps-create-preconfigure-windows-vms/,virtual-machines-ps-create-preconfigure-windows-vms,cynthn,vm-windows,asm_create_powershell,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-python-ipython-notebook/,virtual-machines-python-ipython-notebook,crwilcox,vm-linux,arm_jupyter_notebook,,,__,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-questions/,virtual-machines-questions,cynthn,vm-multiple,asm_faq,__,__,__,Linux,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-redis-template/,virtual-machines-redis-template,twieman,vm-windows,arm_redis_template,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-set-up-endpoints/,virtual-machines-set-up-endpoints,cynthn,vm-multiple,asm_setup_endpoints,__,__,__,Windows,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-size-specs/,virtual-machines-size-specs,cynthn,vm-multiple,sizes,__,__,__,Linux,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-windows-change-drive-letter/,virtual-machines-windows-change-drive-letter,cynthn,vm-windows,asm_change_drive_letter,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-windows-choices-create-vm/,virtual-machines-windows-choices-create-vm,cynthn,vm-windows,arm_creation_choices,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-windows-tutorial/,virtual-machines-windows-tutorial,cynthn,vm-windows,arm_tutorial,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-windows-tutorial-classic-portal/,virtual-machines-windows-tutorial-classic-portal,cynthn,vm-windows,asm_tutorial,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/vs-azure-tools-virtual-machines-create-manage/,vs-azure-tools-virtual-machines-create-manage,tarcher,na,asm_manage_visual_studio,__,__,__,Windows,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-a8-a9-a10-a11-specs/,virtual-machines-a8-a9-a10-a11-specs,danlep,vm-multiple,a8_a9_a10_a11_specs,__,__,__,Windows,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-allocation-failure/,virtual-machines-allocation-failure,kenazk,ibiza,allocation_failure,__,__,__,Windows,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-azurerm-versus-azuresm/,virtual-machines-azurerm-versus-azuresm,mahthi,vm-multiple,compare_deployment_models,__,__,__,Windows,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-docker-compose-quickstart/,virtual-machines-docker-compose-quickstart,danlep,vm-linux,docker_compose_quickstart,,,__,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-excel-cluster-hpcpack/,virtual-machines-excel-cluster-hpcpack,danlep,vm-windows,arm_excel_cluster_hpcpack,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-extensions-authoring-templates/,virtual-machines-extensions-authoring-templates,kundanap,na,arm_extensions_ authoring_templates,__,__,__,Windows,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-extensions-configuration-samples-linux/,virtual-machines-extensions-configuration-samples-linux,kundanap,vm-linux,arm_extensions_configuration_samples,,,__,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-extensions-configuration-samples-windows/,virtual-machines-extensions-configuration-samples-windows,kundanap,vm-windows,arm_extensions_configuration_samples,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-extensions-customscript/,virtual-machines-extensions-customscript,kundanap,vm-windows,asm_extensions_customscript,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-extensions-customscript-with-template/,virtual-machines-extensions-customscript-with-template,kundanap,vm-multiple,arm_extensions_customscript,__,,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-extensions-diagnostics-windows-powershell/,virtual-machines-extensions-diagnostics-windows-powershell,saurabh,vm-windows,ps_extensions_diagnostics,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-extensions-diagnostics-windows-template/,virtual-machines-extensions-diagnostics-windows-template,saurabh,vm-windows,arm_extensions_diagnostics_template,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-extensions-troubleshooting/,virtual-machines-extensions-troubleshooting,kundanap,na,arm_extensions_troubleshoot,__,__,__,Windows,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-freebsd-create-upload-vhd/,virtual-machines-freebsd-create-upload-vhd,kyliel,vm-linux,asm_freebsd_create_upload_vhd,,,__,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-hpcpack-cluster-headnode/,virtual-machines-hpcpack-cluster-headnode,danlep,vm-multiple,arm_hpcpack_cluster_headnode,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-hpcpack-cluster-node-autogrowshrink/,virtual-machines-hpcpack-cluster-node-autogrowshrink,danlep,vm-multiple,asm_hpcpack_cluster_node_autogrowshrink,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-hpcpack-cluster-node-burst/,virtual-machines-hpcpack-cluster-node-burst,danlep,vm-multiple,asm_hpcpack_cluster_node_burst,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-hpcpack-cluster-node-manage/,virtual-machines-hpcpack-cluster-node-manage,danlep,vm-multiple,asm_hpcpack_cluster_node_manage,,__,,Windows,
